random,1000,10,0.05,591,1.023975,0,990,989,990,990,990,991,991,990,990,990,990,990
random,1000,10,0.05,591,2.025972,0,916,801,916,916,916,916,919,919,919,919,919,919
random,1000,10,0.05,591,4.073922,0,822,783,822,822,822,822,822,822,822,822,822,822
random,1000,10,0.05,591,3.053943,0,851,735,851,851,851,851,851,853,853,853,853,853
random,1000,10,0.05,591,6.181812,0,749,744,749,749,749,749,749,749,749,749,749,749
random,1000,10,0.05,591,5.147847,0,783,756,783,783,783,783,783,783,783,783,783,783
random,1000,10,0.05,591,7.103889000000001,0,720,713,720,720,720,720,720,720,720,720,720,720
random,1000,10,0.05,591,8.159832,0,697,636,697,697,697,697,697,697,697,697,697,697
random,1000,10,0.05,591,9.161829000000001,0,665,665,665,665,665,665,665,665,665,665,665,665
random,1000,10,0.05,591,10.161828,0,628,621,628,628,628,628,628,628,628,628,628,628
random,1000,10,0.05,591,11.157831,0,613,606,613,613,613,613,613,613,613,613,613,613
random,1000,10,0.05,591,13.229757,0,568,566,568,568,568,568,568,568,568,568,568,568
random,1000,10,0.05,591,12.243744,0,577,577,577,577,577,577,577,577,577,577,577,577
random,1000,10,0.05,591,14.097888,0,542,528,542,542,542,542,542,542,542,542,542,542
random,1000,10,0.05,591,16.00398,0,500,500,500,500,500,500,500,500,500,500,500,500
random,1000,10,0.05,591,15.061923,0,518,510,518,518,518,518,518,518,518,518,518,518
random,1000,10,0.05,591,17.061921,0,482,479,482,482,482,482,482,482,482,482,482,482
random,1000,10,0.05,591,18.065915999999998,0,455,444,455,455,455,455,455,455,455,455,455,455
random,1000,10,0.05,591,19.983996,0,423,423,423,423,423,423,423,423,423,423,423,423
random,1000,10,0.05,591,19.045935,0,441,432,441,441,441,441,441,441,441,441,441,441
random,1000,10,0.05,591,20.944035,0,419,417,419,419,419,419,419,419,419,419,419,419
scale,1000,10,0.05,591,1.998,0,924,929,944,941,943,943,944,932,932,932,932,932
scale,1000,10,0.05,591,3.9940019999999996,0,805,718,805,805,805,806,805,806,806,806,806,806
random,1000,10,0.05,591,21.870108,0,401,395,401,401,401,401,401,401,401,401,401,401
random,1000,10,0.05,591,22.938039,0,374,374,374,374,374,374,374,374,374,374,374,374
random,1000,10,0.05,591,23.979996,0,365,365,365,365,365,365,365,365,365,365,365,365
scale,1000,10,0.05,591,5.988006,0,788,236,788,788,788,788,788,788,788,788,788,788
random,1000,10,0.05,591,25.025949,0,330,325,330,330,330,330,330,330,330,330,330,330
scale,1000,10,0.05,591,7.980012,0,688,681,688,688,688,688,688,688,688,688,688,688
scale,1000,10,0.05,591,9.97002,0,619,606,619,619,619,619,619,619,619,619,619,619
scale,1000,10,0.05,591,11.958029999999999,0,656,656,656,656,656,656,656,656,656,656,656,656
scale,1000,10,0.05,591,13.944042,0,591,576,591,591,591,591,591,591,591,591,591,591
scale,1000,10,0.05,591,15.928056,0,524,471,524,524,524,524,524,524,524,524,524,524
scale,1000,10,0.05,591,17.910072,0,453,400,453,453,453,453,453,453,453,453,453,453
scale,1000,10,0.05,591,19.89009,0,553,507,553,553,553,553,553,553,553,553,553,553
random,1000,10,0.05,8412,0.9900089999999999,0,982,987,987,987,987,987,987,987,987,987,987,987
random,1000,10,0.05,8412,1.9620360000000001,0,914,842,914,914,914,914,914,914,914,914,914,914
scale,1000,10,0.05,591,21.86811,0,448,448,448,448,448,448,448,448,448,448,448,448
random,1000,10,0.05,8412,2.948049,0,869,678,869,869,869,869,869,870,870,870,870,870
random,1000,10,0.05,8412,3.97602,0,832,432,832,832,832,832,832,832,832,832,832,832
scale,1000,10,0.05,591,23.844132000000002,0,493,493,493,493,493,493,493,493,493,493,493,493
random,1000,10,0.05,8412,5.043951,0,793,779,793,793,793,793,793,793,793,793,793,793
random,1000,10,0.05,8412,6.07392,0,760,745,760,760,760,760,760,760,760,760,760,760
random,1000,10,0.05,8412,7.081911,0,733,659,733,733,733,733,733,733,733,733,733,733
random,1000,10,0.05,8412,8.103888,0,697,616,697,697,697,697,697,697,697,697,697,697
random,1000,10,0.05,8412,9.085905,0,662,548,662,662,662,662,662,662,662,662,662,662
random,1000,10,0.05,8412,10.043946,0,642,626,642,642,642,642,642,642,642,642,642,642
random,1000,10,0.05,8412,11.069919,0,620,620,620,620,620,620,620,620,620,620,620,620
random,1000,10,0.05,8412,12.081906,0,570,561,570,570,570,570,570,570,570,570,570,570
random,1000,10,0.05,8412,13.107879,0,565,565,565,565,565,565,565,565,565,565,565,565
random,1000,10,0.05,8412,14.167818,0,527,117,527,527,527,527,527,527,527,527,527,527
random,1000,10,0.05,8412,16.225758,0,492,492,492,492,492,492,492,492,492,492,492,492
random,1000,10,0.05,8412,15.139845,0,531,483,531,531,531,531,531,531,531,531,531,531
random,1000,10,0.05,8412,17.265717,0,492,346,492,492,492,492,492,492,492,492,492,492
random,1000,10,0.05,8412,18.361620000000002,0,454,423,454,454,454,454,454,454,454,454,454,454
random,1000,10,0.05,8412,19.295685,0,432,414,432,432,432,432,432,432,432,432,432,432
random,1000,10,0.05,8412,20.257722,0,417,387,417,417,417,417,417,417,417,417,417,417
random,1000,10,0.05,8412,21.293685,0,400,367,400,400,400,400,400,400,400,400,400,400
scale,1000,10,0.05,8412,1.998,0,922,936,945,947,944,947,949,938,938,938,938,938
random,1000,10,0.05,8412,22.251725999999998,0,385,382,385,385,385,385,385,385,385,385,385,385
random,1000,10,0.05,8412,23.281695,0,364,364,364,364,364,364,364,364,364,364,364,364
random,1000,10,0.05,8412,24.279695999999998,0,341,324,341,341,341,341,341,341,341,341,341,341
random,1000,10,0.05,8412,25.297676999999997,0,358,323,358,358,358,358,358,358,358,358,358,358
scale,1000,10,0.05,8412,3.9940019999999996,0,837,594,837,837,837,837,837,839,839,839,839,839
scale,1000,10,0.05,8412,5.988006,0,739,737,739,739,739,739,739,739,739,739,739,739
scale,1000,10,0.05,8412,7.980012,0,699,473,699,699,699,699,699,699,699,699,699,699
scale,1000,10,0.05,8412,9.97002,0,685,541,685,685,685,685,685,685,685,685,685,685
scale,1000,10,0.05,8412,11.958029999999999,0,621,608,621,621,621,621,621,621,621,621,621,621
scale,1000,10,0.05,8412,13.944042,0,625,585,625,625,625,625,625,625,625,625,625,625
scale,1000,10,0.05,8412,15.928056,0,507,482,507,507,507,507,507,507,507,507,507,507
scale,1000,10,0.05,8412,17.910072,0,541,442,541,541,541,541,541,541,541,541,541,541
scale,1000,10,0.05,8412,19.89009,0,496,453,496,496,496,496,496,496,496,496,496,496
random,1000,10,0.05,2107,1.0139850000000001,0,992,993,995,995,995,995,995,994,994,994,994,994
scale,1000,10,0.05,8412,21.86811,0,449,431,449,449,449,449,449,449,449,449,449,449
scale,1000,10,0.05,8412,23.844132000000002,0,414,411,414,414,414,414,414,414,414,414,414,414
random,1000,10,0.05,2107,1.9940039999999999,0,915,789,915,915,915,917,917,917,917,917,917,917
random,1000,10,0.05,2107,3.035961,0,866,630,866,866,866,866,866,866,866,866,866,866
random,1000,10,0.05,2107,4.03596,0,820,751,820,820,820,820,820,820,820,820,820,820
random,1000,10,0.05,2107,4.9920029999999995,0,795,721,795,795,795,795,795,795,795,795,795,795
random,1000,10,0.05,2107,6.03396,0,748,675,748,748,748,748,748,748,748,748,748,748
random,1000,10,0.05,2107,7.087905,0,717,569,717,717,717,717,717,717,717,717,717,717
random,1000,10,0.05,2107,8.077914,0,684,560,684,684,684,684,684,684,684,684,684,684
random,1000,10,0.05,2107,10.02996,0,634,358,634,634,634,634,634,634,634,634,634,634
random,1000,10,0.05,2107,9.065925,0,664,473,664,664,664,664,664,664,664,664,664,664
random,1000,10,0.05,2107,10.991997000000001,0,619,600,619,619,619,619,619,619,619,619,619,619
random,1000,10,0.05,2107,11.972016,0,589,489,589,589,589,589,589,589,589,589,589,589
