random,10000,10,0.05,591,1.019898,0,9817,9865,9869,9867
random,10000,10,0.05,591,2.009799,0,8994,7728,8994,9002
random,10000,10,0.05,591,3.9796020000000003,0,8067,3785,8067,8070
random,10000,10,0.05,591,5.009499,0,7737,3083,7737,7737
random,10000,10,0.05,591,2.9997,0,8495,5879,8495,8498
random,10000,10,0.05,591,7.019298,0,7037,1890,7037,7037
random,10000,10,0.05,591,6.019398,0,7366,3034,7366,7366
random,10000,10,0.05,591,10.968903000000001,0,5943,1906,5943,5943
random,10000,10,0.05,591,8.019198,0,6756,4608,6756,6756
random,10000,10,0.05,591,8.9991,0,6487,1104,6487,6487
random,10000,10,0.05,591,12.978701999999998,0,5446,1320,5446,5446
random,10000,10,0.05,591,11.978802,0,5722,820,5722,5722
random,10000,10,0.05,591,9.989001000000002,0,6238,988,6238,6238
random,10000,10,0.05,591,13.958604000000001,0,5203,509,5203,5203
random,10000,10,0.05,591,15.978402,0,4794,2096,4794,4794
random,10000,10,0.05,591,14.938506,0,5039,2751,5039,5039
random,10000,10,0.05,591,17.968203,0,4337,620,4337,4337
random,10000,10,0.05,591,18.988101,0,4148,928,4148,4148
random,10000,10,0.05,591,16.978302,0,4583,352,4583,4583
random,10000,10,0.05,591,19.988001,0,3995,425,3995,3995
random,10000,10,0.05,591,20.997899999999998,0,3773,1269,3773,3773
scale,10000,10,0.05,591,1.9998,0,9197,9453,9453,9454
random,10000,10,0.05,591,21.987801,0,3683,2974,3683,3683
scale,10000,10,0.05,591,3.9996,0,8255,3829,8255,8257
random,10000,10,0.05,591,22.987700999999998,0,3489,1919,3489,3489
scale,10000,10,0.05,591,5.9994,0,7618,4791,7618,7618
random,10000,10,0.05,591,25.027497,0,3188,755,3188,3188
random,10000,10,0.05,591,24.017598,0,3388,159,3388,3388
scale,10000,10,0.05,591,7.9992,0,7132,5681,7132,7132
scale,10000,10,0.05,591,9.999,0,6629,3434,6629,6629
scale,10000,10,0.05,591,11.9988,0,6162,6009,6162,6162
scale,10000,10,0.05,591,15.988401,0,5463,379,5463,5463
scale,10000,10,0.05,591,13.9986,0,5940,5881,5940,5940
scale,10000,10,0.05,591,17.988201,0,4736,2809,4736,4736
scale,10000,10,0.05,591,19.988001,0,4797,4661,4797,4797
scale,10000,10,0.05,591,23.987601,0,4103,1682,4103,4103
scale,10000,10,0.05,591,21.987801,0,4446,3564,4446,4446
random,10000,10,0.05,8412,0.9999,0,9836,9880,9888,9880
random,10000,10,0.05,8412,1.969803,0,9063,7901,9066,9074
random,10000,10,0.05,8412,2.9497050000000002,0,8573,5323,8573,8577
random,10000,10,0.05,8412,3.939606,0,8149,5675,8149,8150
random,10000,10,0.05,8412,4.929506999999999,0,7778,5972,7778,7778
random,10000,10,0.05,8412,5.919408,0,7477,2037,7477,7477
random,10000,10,0.05,8412,6.89931,0,7163,1664,7163,7163
random,10000,10,0.05,8412,8.939106,0,6538,2863,6538,6538
random,10000,10,0.05,8412,9.939006000000001,0,6247,3934,6247,6247
random,10000,10,0.05,8412,7.919207999999999,0,6804,3439,6804,6804
random,10000,10,0.05,8412,10.948905,0,5972,3953,5972,5972
random,10000,10,0.05,8412,11.938806,0,5738,4630,5738,5738
random,10000,10,0.05,8412,12.928707000000001,0,5476,2697,5476,5476
random,10000,10,0.05,8412,13.908609,0,5270,3123,5270,5270
random,10000,10,0.05,8412,16.908309,0,4649,940,4649,4649
random,10000,10,0.05,8412,15.918408000000001,0,4821,2537,4821,4821
random,10000,10,0.05,8412,14.918508000000001,0,5079,2559,5079,5079
random,10000,10,0.05,8412,17.908209,0,4420,2773,4420,4420
random,10000,10,0.05,8412,18.908109,0,4209,2507,4209,4209
random,10000,10,0.05,8412,19.89801,0,4049,1706,4049,4049
random,10000,10,0.05,8412,20.89791,0,3889,2428,3889,3889
random,10000,10,0.05,8412,21.887811,0,3735,1779,3735,3735
scale,10000,10,0.05,8412,1.9998,0,9211,9465,9465,9465
random,10000,10,0.05,8412,22.917708,0,3546,2096,3546,3546
random,10000,10,0.05,8412,23.907608999999997,0,3397,347,3397,3397
random,10000,10,0.05,8412,24.917507999999998,0,3167,1628,3167,3167
scale,10000,10,0.05,8412,3.9996,0,8141,3324,8141,8145
scale,10000,10,0.05,8412,5.9994,0,7640,2543,7640,7640
