random,1000,10,0.05,591,1.023975,0,853,933,965
linear,1000,10,0.05,591,1,-1.0,948,960,991
linear,1000,10,0.05,591,1,0,879,940,966
linear,1000,10,0.05,591,1,-2.0,950,950,996
linear,1000,10,0.05,591,1,-0.5,948,963,996
linear,1000,10,0.05,591,1,0.5,672,815,862
linear,1000,10,0.05,591,1,-1.5,950,955,998
linear,1000,10,0.05,591,1,1.0,615,771,793
linear,1000,10,0.05,591,1,1.5,652,762,763
linear,1000,10,0.05,591,1,2,479,969,969
random,1000,10,0.05,591,2.025972,0,186,457,485
linear,1000,10,0.05,591,2,-1.0,176,409,459
linear,1000,10,0.05,591,2,-0.5,212,447,485
linear,1000,10,0.05,591,2,-1.5,235,447,476
linear,1000,10,0.05,591,2,0,224,467,487
linear,1000,10,0.05,591,2,-2.0,103,103,105
random,1000,10,0.05,591,3.053943,0,56,198,202
linear,1000,10,0.05,591,2,0.5,280,516,527
linear,1000,10,0.05,591,2,1.0,345,551,556
linear,1000,10,0.05,591,2,2,0,948,948
linear,1000,10,0.05,591,2,1.5,575,659,660
linear,1000,10,0.05,591,3,-1.0,14,54,55
linear,1000,10,0.05,591,3,-0.5,22,116,118
linear,1000,10,0.05,591,3,-2.0,0,0,0
linear,1000,10,0.05,591,3,-1.5,0,8,8
linear,1000,10,0.05,591,3,0.5,137,317,318
random,1000,10,0.05,591,4.073922,0,23,78,78
linear,1000,10,0.05,591,3,0,69,210,213
linear,1000,10,0.05,591,3,1.0,245,399,399
linear,1000,10,0.05,591,3,2,0,466,466
linear,1000,10,0.05,591,3,1.5,543,614,615
linear,1000,10,0.05,591,4,-2.0,0,0,0
linear,1000,10,0.05,591,4,-1.5,0,0,0
linear,1000,10,0.05,591,4,-1.0,1,10,10
linear,1000,10,0.05,591,4,-0.5,4,30,30
linear,1000,10,0.05,591,4,0,24,86,87
linear,1000,10,0.05,591,4,0.5,79,201,201
linear,1000,10,0.05,591,4,1.0,199,312,312
random,1000,10,0.05,591,5.147847,0,6,31,31
linear,1000,10,0.05,591,4,2,0,0,0
linear,1000,10,0.05,591,4,1.5,535,592,592
linear,1000,10,0.05,591,5,-1.5,0,0,0
linear,1000,10,0.05,591,5,-1.0,0,3,3
linear,1000,10,0.05,591,5,-2.0,0,0,0
linear,1000,10,0.05,591,5,-0.5,2,11,11
linear,1000,10,0.05,591,5,0.5,56,140,140
linear,1000,10,0.05,591,5,0,8,51,51
random,1000,10,0.05,591,6.181812,0,2,10,10
linear,1000,10,0.05,591,5,1.5,532,575,575
linear,1000,10,0.05,591,5,2,0,0,0
linear,1000,10,0.05,591,5,1.0,175,272,272
linear,1000,10,0.05,591,6,-2.0,0,0,0
linear,1000,10,0.05,591,6,-1.5,0,0,0
